sample	unit	fq1	fq2
8oxoG	lane0	8oxoG_L000_R1_001.fastq.gz	8oxoG_L000_R2_001.fastq.gz
CTL	lane0	8oxoG_ctl_L000_R1_001.fastq.gz	8oxoG_ctl_L000_R2_001.fastq.gz
